"Sex";"Periods";"Regions";"Population on 1 January (number)";"Population density (number)";"Population on 31 December (number)"
"Total male and female";"2022";"IJmond (CR)";"  199581";"    1252";"  200749"
"Total male and female";"2023";"IJmond (CR)";"  200749";"    1259";"  201325"
"Total male and female";"2009";"Agglomeratie Haarlem (CR)";"  217977";"    1684";"  219690"
"Total male and female";"2010";"Agglomeratie Haarlem (CR)";"  219690";"    1697";"  221070"
"Total male and female";"2011";"Agglomeratie Haarlem (CR)";"  221070";"    1707";"  222241"
"Total male and female";"2012";"Agglomeratie Haarlem (CR)";"  222241";"    1716";"  223724"
"Total male and female";"2013";"Agglomeratie Haarlem (CR)";"  223724";"    1727";"  225680"
"Total male and female";"2014";"Agglomeratie Haarlem (CR)";"  225680";"    1742";"  227647"
"Total male and female";"2015";"Agglomeratie Haarlem (CR)";"  227647";"    1757";"  229572"
"Total male and female";"2016";"Agglomeratie Haarlem (CR)";"  229572";"    1774";"  231555"
"Total male and female";"2017";"Agglomeratie Haarlem (CR)";"  231555";"    1789";"  232834"
"Total male and female";"2018";"Agglomeratie Haarlem (CR)";"  232834";"    1799";"  235139"
"Total male and female";"2019";"Agglomeratie Haarlem (CR)";"  228972";"    2077";"  230823"
"Total male and female";"2020";"Agglomeratie Haarlem (CR)";"  230823";"    2094";"  230734"
"Total male and female";"2021";"Agglomeratie Haarlem (CR)";"  230734";"    2093";"  231294"
"Total male and female";"2022";"Agglomeratie Haarlem (CR)";"  231294";"    2098";"  234638"
"Total male and female";"2023";"Agglomeratie Haarlem (CR)";"  234638";"    2129";"  236484"
"Total male and female";"2009";"Zaanstreek (CR)";"  159955";"    1420";"  161194"
"Total male and female";"2010";"Zaanstreek (CR)";"  161194";"    1431";"  162741"
"Total male and female";"2011";"Zaanstreek (CR)";"  162741";"    1445";"  164062"
"Total male and female";"2012";"Zaanstreek (CR)";"  164062";"    1457";"  165362"
"Total male and female";"2013";"Zaanstreek (CR)";"  165362";"    1469";"  166375"
"Total male and female";"2014";"Zaanstreek (CR)";"  166375";"    1478";"  167158"
"Total male and female";"2015";"Zaanstreek (CR)";"  167158";"    1485";"  168130"
"Total male and female";"2016";"Zaanstreek (CR)";"  168130";"    1495";"  169499"
"Total male and female";"2017";"Zaanstreek (CR)";"  169499";"    1507";"  170860"
"Total male and female";"2018";"Zaanstreek (CR)";"  170860";"    1519";"  172214"
"Total male and female";"2019";"Zaanstreek (CR)";"  172214";"    1531";"  173064"
"Total male and female";"2020";"Zaanstreek (CR)";"  173064";"    1539";"  173234"
"Total male and female";"2021";"Zaanstreek (CR)";"  173234";"    1541";"  173547"
"Total male and female";"2022";"Zaanstreek (CR)";"  173547";"    1546";"  176230"
"Total male and female";"2023";"Zaanstreek (CR)";"  176230";"    1570";"  177941"
"Total male and female";"2009";"Groot-Amsterdam (CR)";" 1235514";"    1727";" 1251327"
"Total male and female";"2010";"Groot-Amsterdam (CR)";" 1251327";"    1749";" 1267128"
"Total male and female";"2011";"Groot-Amsterdam (CR)";" 1267128";"    1772";" 1280170"
"Total male and female";"2012";"Groot-Amsterdam (CR)";" 1280160";"    1790";" 1291735"
"Total male and female";"2013";"Groot-Amsterdam (CR)";" 1291735";"    1807";" 1305307"
"Total male and female";"2014";"Groot-Amsterdam (CR)";" 1305307";"    1826";" 1320295"
"Total male and female";"2015";"Groot-Amsterdam (CR)";" 1313889";"    1890";" 1329572"
"Total male and female";"2016";"Groot-Amsterdam (CR)";" 1329572";"    1917";" 1344659"
"Total male and female";"2017";"Groot-Amsterdam (CR)";" 1344659";"    1939";" 1357675"
"Total male and female";"2018";"Groot-Amsterdam (CR)";" 1357675";"    1958";" 1370659"
"Total male and female";"2019";"Groot-Amsterdam (CR)";" 1376826";"    1932";" 1392695"
"Total male and female";"2020";"Groot-Amsterdam (CR)";" 1392695";"    1954";" 1396239"
"Total male and female";"2021";"Groot-Amsterdam (CR)";" 1396239";"    1959";" 1411057"
"Total male and female";"2022";"Groot-Amsterdam (CR)";" 1411057";"    1982";" 1456187"
"Total male and female";"2023";"Groot-Amsterdam (CR)";" 1456187";"    1983";" 1472793"
"Total male and female";"2009";"Het Gooi en Vechtstreek (CR)";"  243476";"    1235";"  243576"
"Total male and female";"2010";"Het Gooi en Vechtstreek (CR)";"  243576";"    1235";"  244480"
"Total male and female";"2011";"Het Gooi en Vechtstreek (CR)";"  244480";"    1239";"  245046"
"Total male and female";"2012";"Het Gooi en Vechtstreek (CR)";"  245042";"    1242";"  245117"
"Total male and female";"2013";"Het Gooi en Vechtstreek (CR)";"  245117";"    1242";"  245109"
"Total male and female";"2014";"Het Gooi en Vechtstreek (CR)";"  245109";"    1242";"  246497"
"Total male and female";"2015";"Het Gooi en Vechtstreek (CR)";"  246497";"    1249";"  248324"
"Total male and female";"2016";"Het Gooi en Vechtstreek (CR)";"  248324";"    1261";"  250692"
"Total male and female";"2017";"Het Gooi en Vechtstreek (CR)";"  250692";"    1273";"  252974"
"Total male and female";"2018";"Het Gooi en Vechtstreek (CR)";"  252974";"    1285";"  254970"
"Total male and female";"2019";"Het Gooi en Vechtstreek (CR)";"  254970";"    1295";"  257075"
"Total male and female";"2020";"Het Gooi en Vechtstreek (CR)";"  257075";"    1305";"  259109"
"Total male and female";"2021";"Het Gooi en Vechtstreek (CR)";"  259109";"    1316";"  260664"
"Total male and female";"2022";"Het Gooi en Vechtstreek (CR)";"  260664";"    1326";"  243799"
"Total male and female";"2023";"Het Gooi en Vechtstreek (CR)";"  243799";"    1402";"  244766"
"Total male and female";"2009";"Agglomeratie Leiden en Bollenstreek (CR)";"  402770";"    1457";"  404736"
"Total male and female";"2010";"Agglomeratie Leiden en Bollenstreek (CR)";"  404736";"    1464";"  407237"
"Total male and female";"2011";"Agglomeratie Leiden en Bollenstreek (CR)";"  407237";"    1474";"  409119"
"Total male and female";"2012";"Agglomeratie Leiden en Bollenstreek (CR)";"  409129";"    1480";"  411351"
"Total male and female";"2013";"Agglomeratie Leiden en Bollenstreek (CR)";"  411351";"    1489";"  413101"
"Total male and female";"2014";"Agglomeratie Leiden en Bollenstreek (CR)";"  413101";"    1495";"  415106"
"Total male and female";"2015";"Agglomeratie Leiden en Bollenstreek (CR)";"  415106";"    1502";"  418023"
"Total male and female";"2016";"Agglomeratie Leiden en Bollenstreek (CR)";"  418023";"    1512";"  421296"
"Total male and female";"2017";"Agglomeratie Leiden en Bollenstreek (CR)";"  421296";"    1524";"  424657"
"Total male and female";"2018";"Agglomeratie Leiden en Bollenstreek (CR)";"  424657";"    1536";"  427217"
"Total male and female";"2019";"Agglomeratie Leiden en Bollenstreek (CR)";"  427217";"    1545";"  430358"
"Total male and female";"2020";"Agglomeratie Leiden en Bollenstreek (CR)";"  430358";"    1557";"  431595"
"Total male and female";"2021";"Agglomeratie Leiden en Bollenstreek (CR)";"  431595";"    1561";"  434527"
"Total male and female";"2022";"Agglomeratie Leiden en Bollenstreek (CR)";"  434527";"    1574";"  440312"
"Total male and female";"2023";"Agglomeratie Leiden en Bollenstreek (CR)";"  440312";"    1595";"  445756"
"Total male and female";"2009";"Agglomeratie 's-Gravenhage (CR)";"  794009";"    3156";"  802746"
"Total male and female";"2010";"Agglomeratie 's-Gravenhage (CR)";"  802746";"    3191";"  810849"
"Total male and female";"2011";"Agglomeratie 's-Gravenhage (CR)";"  810849";"    3224";"  819646"
"Total male and female";"2012";"Agglomeratie 's-Gravenhage (CR)";"  819646";"    3259";"  825018"
"Total male and female";"2013";"Agglomeratie 's-Gravenhage (CR)";"  825018";"    3281";"  830237"
"Total male and female";"2014";"Agglomeratie 's-Gravenhage (CR)";"  830237";"    3302";"  838015"
"Total male and female";"2015";"Agglomeratie 's-Gravenhage (CR)";"  838015";"    3333";"  845425"
"Total male and female";"2016";"Agglomeratie 's-Gravenhage (CR)";"  845425";"    3350";"  853987"
"Total male and female";"2017";"Agglomeratie 's-Gravenhage (CR)";"  853987";"    3384";"  864129"
"Total male and female";"2018";"Agglomeratie 's-Gravenhage (CR)";"  864129";"    3435";"  872211"
"Total male and female";"2019";"Agglomeratie 's-Gravenhage (CR)";"  872211";"    3467";"  883720"
"Total male and female";"2020";"Agglomeratie 's-Gravenhage (CR)";"  883720";"    3512";"  887863"
"Total male and female";"2021";"Agglomeratie 's-Gravenhage (CR)";"  887863";"    3529";"  896471"
"Total male and female";"2022";"Agglomeratie 's-Gravenhage (CR)";"  896471";"    3564";"  910352"
"Total male and female";"2023";"Agglomeratie 's-Gravenhage (CR)";"  910352";"    3620";"  917558"
"Total male and female";"2009";"Delft en Westland (CR)";"  213551";"    1427";"  214367"
"Total male and female";"2010";"Delft en Westland (CR)";"  214367";"    1432";"  215620"
"Total male and female";"2011";"Delft en Westland (CR)";"  215620";"    1440";"  218880"
"Total male and female";"2012";"Delft en Westland (CR)";"  218880";"    1462";"  220046"
"Total male and female";"2013";"Delft en Westland (CR)";"  220046";"    1470";"  221743"
"Total male and female";"2014";"Delft en Westland (CR)";"  221743";"    1481";"  224041"
"Total male and female";"2015";"Delft en Westland (CR)";"  224041";"    1496";"  224867"
"Total male and female";"2016";"Delft en Westland (CR)";"  224867";"    1485";"  226047"
"Total male and female";"2017";"Delft en Westland (CR)";"  226047";"    1493";"  229083"
"Total male and female";"2018";"Delft en Westland (CR)";"  229083";"    1516";"  231157"
"Total male and female";"2019";"Delft en Westland (CR)";"  231157";"    1530";"  233311"
"Total male and female";"2020";"Delft en Westland (CR)";"  233311";"    1544";"  234377"
"Total male and female";"2021";"Delft en Westland (CR)";"  234377";"    1551";"  236504"
"Total male and female";"2022";"Delft en Westland (CR)";"  236504";"    1570";"  240445"
"Total male and female";"2023";"Delft en Westland (CR)";"  240445";"    1596";"  244895"
"Total male and female";"2009";"Oost-Zuid-Holland (CR)";"  311456";"     671";"  312402"
"Total male and female";"2010";"Oost-Zuid-Holland (CR)";"  293596";"     696";"  293819"
"Total male and female";"2011";"Oost-Zuid-Holland (CR)";"  293819";"     698";"  294376"
"Total male and female";"2012";"Oost-Zuid-Holland (CR)";"  294376";"     699";"  294237"
"Total male and female";"2013";"Oost-Zuid-Holland (CR)";"  294237";"     699";"  294815"
"Total male and female";"2014";"Oost-Zuid-Holland (CR)";"  294815";"     700";"  296304"
"Total male and female";"2015";"Oost-Zuid-Holland (CR)";"  318688";"     670";"  320758"
"Total male and female";"2016";"Oost-Zuid-Holland (CR)";"  320758";"     675";"  324054"
"Total male and female";"2017";"Oost-Zuid-Holland (CR)";"  324054";"     682";"  327821"
"Total male and female";"2018";"Oost-Zuid-Holland (CR)";"  327821";"     694";"  331621"
"Total male and female";"2019";"Oost-Zuid-Holland (CR)";"  331621";"     702";"  334617"
"Total male and female";"2020";"Oost-Zuid-Holland (CR)";"  334617";"     708";"  337798"
"Total male and female";"2021";"Oost-Zuid-Holland (CR)";"  337798";"     715";"  340481"
"Total male and female";"2022";"Oost-Zuid-Holland (CR)";"  340481";"     721";"  345570"
"Total male and female";"2023";"Oost-Zuid-Holland (CR)";"  345570";"     732";"  348579"
"Total male and female";"2009";"Groot-Rijnmond (CR)";" 1367012";"    1137";" 1376834"
"Total male and female";"2010";"Groot-Rijnmond (CR)";" 1395640";"    1122";" 1404791"
"Total male and female";"2011";"Groot-Rijnmond (CR)";" 1404791";"    1130";" 1412582"
"Total male and female";"2012";"Groot-Rijnmond (CR)";" 1412582";"    1136";" 1414690"
"Total male and female";"2013";"Groot-Rijnmond (CR)";" 1414690";"    1140";" 1417821"
"Total male and female";"2014";"Groot-Rijnmond (CR)";" 1417821";"    1142";" 1426316"
"Total male and female";"2015";"Groot-Rijnmond (CR)";" 1403932";"    1184";" 1412322"
"Total male and female";"2016";"Groot-Rijnmond (CR)";" 1412322";"    1184";" 1422465"
"Total male and female";"2017";"Groot-Rijnmond (CR)";" 1422465";"    1192";" 1431245"
"Total male and female";"2018";"Groot-Rijnmond (CR)";" 1431245";"    1202";" 1441452"
"Total male and female";"2019";"Groot-Rijnmond (CR)";" 1441452";"    1211";" 1454720"
"Total male and female";"2020";"Groot-Rijnmond (CR)";" 1454720";"    1222";" 1461412"
"Total male and female";"2021";"Groot-Rijnmond (CR)";" 1461412";"    1227";" 1470993"
"Total male and female";"2022";"Groot-Rijnmond (CR)";" 1470993";"    1234";" 1488475"
"Total male and female";"2023";"Groot-Rijnmond (CR)";" 1488475";"    1249";" 1502582"
"Total male and female";"2009";"Zuidoost-Zuid-Holland (CR)";"  392760";"     842";"  394526"
"Total male and female";"2010";"Zuidoost-Zuid-Holland (CR)";"  394526";"     846";"  396008"
"Total male and female";"2011";"Zuidoost-Zuid-Holland (CR)";"  396008";"     849";"  397794"
"Total male and female";"2012";"Zuidoost-Zuid-Holland (CR)";"  397794";"     853";"  398593"
"Total male and female";"2013";"Zuidoost-Zuid-Holland (CR)";"  398593";"     855";"  399315"
"Total male and female";"2014";"Zuidoost-Zuid-Holland (CR)";"  399315";"     857";"  400229"
"Total male and female";"2015";"Zuidoost-Zuid-Holland (CR)";"  400229";"     859";"  400908"
"Total male and female";"2016";"Zuidoost-Zuid-Holland (CR)";"  400908";"     861";"  402373"
"Total male and female";"2017";"Zuidoost-Zuid-Holland (CR)";"  402373";"     864";"  404109"
"Total male and female";"2018";"Zuidoost-Zuid-Holland (CR)";"  404109";"     869";"  405503"
"Total male and female";"2019";"Zuidoost-Zuid-Holland (CR)";"  370235";"    1034";"  371970"
"Total male and female";"2020";"Zuidoost-Zuid-Holland (CR)";"  371970";"    1039";"  373005"
"Total male and female";"2021";"Zuidoost-Zuid-Holland (CR)";"  373005";"    1042";"  374968"
"Total male and female";"2022";"Zuidoost-Zuid-Holland (CR)";"  374968";"    1053";"  379752"
"Total male and female";"2023";"Zuidoost-Zuid-Holland (CR)";"  379752";"    1066";"  381090"
"Total male and female";"2009";"Zeeuwsch-Vlaanderen (CR)";"  107191";"     146";"  106827"
"Total male and female";"2010";"Zeeuwsch-Vlaanderen (CR)";"  106827";"     146";"  106521"
"Total male and female";"2011";"Zeeuwsch-Vlaanderen (CR)";"  106521";"     146";"  106266"
"Total male and female";"2012";"Zeeuwsch-Vlaanderen (CR)";"  106266";"     145";"  106129"
"Total male and female";"2013";"Zeeuwsch-Vlaanderen (CR)";"  106129";"     145";"  105917"
"Total male and female";"2014";"Zeeuwsch-Vlaanderen (CR)";"  105917";"     145";"  105684"
"Total male and female";"2015";"Zeeuwsch-Vlaanderen (CR)";"  105684";"     144";"  105668"
"Total male and female";"2016";"Zeeuwsch-Vlaanderen (CR)";"  105668";"     144";"  105641"
"Total male and female";"2017";"Zeeuwsch-Vlaanderen (CR)";"  105641";"     144";"  105438"
"Total male and female";"2018";"Zeeuwsch-Vlaanderen (CR)";"  105438";"     144";"  105499"
"Total male and female";"2019";"Zeeuwsch-Vlaanderen (CR)";"  105499";"     144";"  105192"
"Total male and female";"2020";"Zeeuwsch-Vlaanderen (CR)";"  105192";"     144";"  105204"
"Total male and female";"2021";"Zeeuwsch-Vlaanderen (CR)";"  105204";"     144";"  105175"
"Total male and female";"2022";"Zeeuwsch-Vlaanderen (CR)";"  105175";"     144";"  105832"
"Total male and female";"2023";"Zeeuwsch-Vlaanderen (CR)";"  105832";"     145";"  105612"
"Total male and female";"2009";"Overig Zeeland (CR)";"  273793";"     260";"  274582"
"Total male and female";"2010";"Overig Zeeland (CR)";"  274582";"     261";"  275009"
"Total male and female";"2011";"Overig Zeeland (CR)";"  275009";"     261";"  275141"
"Total male and female";"2012";"Overig Zeeland (CR)";"  275141";"     261";"  274948"
"Total male and female";"2013";"Overig Zeeland (CR)";"  274948";"     261";"  274704"
"Total male and female";"2014";"Overig Zeeland (CR)";"  274704";"     261";"  275042"
"Total male and female";"2015";"Overig Zeeland (CR)";"  275042";"     261";"  275584"
"Total male and female";"2016";"Overig Zeeland (CR)";"  275584";"     262";"  275927"
"Total male and female";"2017";"Overig Zeeland (CR)";"  275927";"     262";"  276866"
"Total male and female";"2018";"Overig Zeeland (CR)";"  276866";"     264";"  277533"
"Total male and female";"2019";"Overig Zeeland (CR)";"  277533";"     264";"  278296"
"Total male and female";"2020";"Overig Zeeland (CR)";"  278296";"     265";"  280196"
"Total male and female";"2021";"Overig Zeeland (CR)";"  280196";"     267";"  281592"
"Total male and female";"2022";"Overig Zeeland (CR)";"  281592";"     268";"  285292"
"Total male and female";"2023";"Overig Zeeland (CR)";"  285292";"     272";"  286022"
"Total male and female";"2009";"West-Noord-Brabant (CR)";"  612073";"     502";"  614243"
"Total male and female";"2010";"West-Noord-Brabant (CR)";"  614243";"     504";"  616257"
"Total male and female";"2011";"West-Noord-Brabant (CR)";"  616257";"     505";"  618563"
"Total male and female";"2012";"West-Noord-Brabant (CR)";"  618563";"     507";"  620205"
"Total male and female";"2013";"West-Noord-Brabant (CR)";"  620205";"     508";"  622052"
"Total male and female";"2014";"West-Noord-Brabant (CR)";"  622052";"     510";"  623882"
"Total male and female";"2015";"West-Noord-Brabant (CR)";"  623882";"     511";"  625319"
"Total male and female";"2016";"West-Noord-Brabant (CR)";"  625319";"     513";"  627967"
"Total male and female";"2017";"West-Noord-Brabant (CR)";"  627967";"     516";"  631423"
"Total male and female";"2018";"West-Noord-Brabant (CR)";"  631423";"     519";"  634030"
"Total male and female";"2019";"West-Noord-Brabant (CR)";"  634030";"     521";"  635904"
"Total male and female";"2020";"West-Noord-Brabant (CR)";"  635904";"     522";"  637031"
"Total male and female";"2021";"West-Noord-Brabant (CR)";"  637031";"     523";"  640061"
"Total male and female";"2022";"West-Noord-Brabant (CR)";"  640061";"     526";"  646718"
"Total male and female";"2023";"West-Noord-Brabant (CR)";"  646718";"     531";"  651175"
"Total male and female";"2009";"Midden-Noord-Brabant (CR)";"  456033";"     506";"  457776"
"Total male and female";"2010";"Midden-Noord-Brabant (CR)";"  457776";"     508";"  459483"
"Total male and female";"2011";"Midden-Noord-Brabant (CR)";"  459483";"     510";"  461329"
"Total male and female";"2012";"Midden-Noord-Brabant (CR)";"  461329";"     512";"  463038"
"Total male and female";"2013";"Midden-Noord-Brabant (CR)";"  463038";"     514";"  465254"
"Total male and female";"2014";"Midden-Noord-Brabant (CR)";"  465254";"     516";"  466683"
"Total male and female";"2015";"Midden-Noord-Brabant (CR)";"  466683";"     518";"  469184"
"Total male and female";"2016";"Midden-Noord-Brabant (CR)";"  469184";"     522";"  471737"
"Total male and female";"2017";"Midden-Noord-Brabant (CR)";"  471737";"     525";"  475223"
"Total male and female";"2018";"Midden-Noord-Brabant (CR)";"  475223";"     530";"  478957"
"Total male and female";"2019";"Midden-Noord-Brabant (CR)";"  478957";"     534";"  483183"
"Total male and female";"2020";"Midden-Noord-Brabant (CR)";"  483183";"     539";"  485738"
"Total male and female";"2021";"Midden-Noord-Brabant (CR)";"  493004";"     534";"  497266"
"Total male and female";"2022";"Midden-Noord-Brabant (CR)";"  497266";"     539";"  503798"
"Total male and female";"2023";"Midden-Noord-Brabant (CR)";"  503798";"     547";"  507474"
"Total male and female";"2009";"Noordoost-Noord-Brabant (CR)";"  633723";"     468";"  636975"
"Total male and female";"2010";"Noordoost-Noord-Brabant (CR)";"  636975";"     470";"  639620"
"Total male and female";"2011";"Noordoost-Noord-Brabant (CR)";"  639620";"     472";"  641417"
"Total male and female";"2012";"Noordoost-Noord-Brabant (CR)";"  641417";"     474";"  642749"
"Total male and female";"2013";"Noordoost-Noord-Brabant (CR)";"  642749";"     475";"  643642"
"Total male and female";"2014";"Noordoost-Noord-Brabant (CR)";"  643642";"     476";"  645663"
"Total male and female";"2015";"Noordoost-Noord-Brabant (CR)";"  645663";"     477";"  647631"
"Total male and female";"2016";"Noordoost-Noord-Brabant (CR)";"  647631";"     479";"  651064"
"Total male and female";"2017";"Noordoost-Noord-Brabant (CR)";"  651064";"     481";"  654822"
"Total male and female";"2018";"Noordoost-Noord-Brabant (CR)";"  654822";"     484";"  658616"
"Total male and female";"2019";"Noordoost-Noord-Brabant (CR)";"  658616";"     487";"  663257"
"Total male and female";"2020";"Noordoost-Noord-Brabant (CR)";"  663257";"     490";"  666790"
"Total male and female";"2021";"Noordoost-Noord-Brabant (CR)";"  659524";"     497";"  664472"
"Total male and female";"2022";"Noordoost-Noord-Brabant (CR)";"  664472";"     502";"  672514"
"Total male and female";"2023";"Noordoost-Noord-Brabant (CR)";"  672514";"     508";"  676914"
"Total male and female";"2009";"Zuidoost-Noord-Brabant (CR)";"  732731";"     509";"  735164"
"Total male and female";"2010";"Zuidoost-Noord-Brabant (CR)";"  735164";"     510";"  738855"
"Total male and female";"2011";"Zuidoost-Noord-Brabant (CR)";"  738855";"     513";"  742377"
"Total male and female";"2012";"Zuidoost-Noord-Brabant (CR)";"  742377";"     516";"  745019"
"Total male and female";"2013";"Zuidoost-Noord-Brabant (CR)";"  745019";"     518";"  748326"
"Total male and female";"2014";"Zuidoost-Noord-Brabant (CR)";"  748326";"     520";"  752523"
"Total male and female";"2015";"Zuidoost-Noord-Brabant (CR)";"  752523";"     523";"  756615"
"Total male and female";"2016";"Zuidoost-Noord-Brabant (CR)";"  756615";"     526";"  761763"
"Total male and female";"2017";"Zuidoost-Noord-Brabant (CR)";"  761763";"     529";"  766818"
"Total male and female";"2018";"Zuidoost-Noord-Brabant (CR)";"  766818";"     533";"  773203"
"Total male and female";"2019";"Zuidoost-Noord-Brabant (CR)";"  773203";"     537";"  780611"
"Total male and female";"2020";"Zuidoost-Noord-Brabant (CR)";"  780611";"     543";"  784390"
"Total male and female";"2021";"Zuidoost-Noord-Brabant (CR)";"  784390";"     545";"  791075"
"Total male and female";"2022";"Zuidoost-Noord-Brabant (CR)";"  791075";"     550";"  803180"
"Total male and female";"2023";"Zuidoost-Noord-Brabant (CR)";"  803180";"     559";"  809176"
"Total male and female";"2009";"Noord-Limburg (CR)";"  279355";"     335";"  280037"
"Total male and female";"2010";"Noord-Limburg (CR)";"  280037";"     336";"  280103"
"Total male and female";"2011";"Noord-Limburg (CR)";"  280103";"     336";"  280443"
"Total male and female";"2012";"Noord-Limburg (CR)";"  280443";"     337";"  280418"
"Total male and female";"2013";"Noord-Limburg (CR)";"  280418";"     337";"  280517"
"Total male and female";"2014";"Noord-Limburg (CR)";"  280517";"     337";"  280552"
"Total male and female";"2015";"Noord-Limburg (CR)";"  280552";"     337";"  279971"
"Total male and female";"2016";"Noord-Limburg (CR)";"  279971";"     336";"  281514"
"Total male and female";"2017";"Noord-Limburg (CR)";"  281514";"     338";"  281486"
"Total male and female";"2018";"Noord-Limburg (CR)";"  281486";"     338";"  282067"
"Total male and female";"2019";"Noord-Limburg (CR)";"  282067";"     339";"  282605"
"Total male and female";"2020";"Noord-Limburg (CR)";"  282605";"     340";"  283350"
"Total male and female";"2021";"Noord-Limburg (CR)";"  283350";"     341";"  285157"
"Total male and female";"2022";"Noord-Limburg (CR)";"  285157";"     343";"  289248"
"Total male and female";"2023";"Noord-Limburg (CR)";"  289248";"     348";"  290392"
"Total male and female";"2009";"Midden-Limburg (CR)";"  234364";"     352";"  234880"
"Total male and female";"2010";"Midden-Limburg (CR)";"  234880";"     353";"  235211"
"Total male and female";"2011";"Midden-Limburg (CR)";"  235211";"     353";"  235418"
"Total male and female";"2012";"Midden-Limburg (CR)";"  235418";"     354";"  235573"
"Total male and female";"2013";"Midden-Limburg (CR)";"  235573";"     354";"  235335"
"Total male and female";"2014";"Midden-Limburg (CR)";"  235335";"     354";"  235351"
"Total male and female";"2015";"Midden-Limburg (CR)";"  235351";"     354";"  235429"
"Total male and female";"2016";"Midden-Limburg (CR)";"  235429";"     354";"  235995"
"Total male and female";"2017";"Midden-Limburg (CR)";"  235995";"     355";"  236687"
"Total male and female";"2018";"Midden-Limburg (CR)";"  236687";"     356";"  236702"
"Total male and female";"2019";"Midden-Limburg (CR)";"  236702";"     356";"  237412"
"Total male and female";"2020";"Midden-Limburg (CR)";"  237412";"     357";"  238268"
"Total male and female";"2021";"Midden-Limburg (CR)";"  238268";"     358";"  239098"
"Total male and female";"2022";"Midden-Limburg (CR)";"  239098";"     360";"  241467"
"Total male and female";"2023";"Midden-Limburg (CR)";"  241467";"     364";"  242573"
"Total male and female";"2009";"Zuid-Limburg (CR)";"  608885";"     935";"  607784"
"Total male and female";"2010";"Zuid-Limburg (CR)";"  607784";"     933";"  607313"
"Total male and female";"2011";"Zuid-Limburg (CR)";"  607313";"     933";"  607214"
"Total male and female";"2012";"Zuid-Limburg (CR)";"  607214";"     933";"  605900"
"Total male and female";"2013";"Zuid-Limburg (CR)";"  605900";"     932";"  604154"
"Total male and female";"2014";"Zuid-Limburg (CR)";"  604154";"     929";"  602038"
"Total male and female";"2015";"Zuid-Limburg (CR)";"  602038";"     925";"  600860"
"Total male and female";"2016";"Zuid-Limburg (CR)";"  600860";"     924";"  600037"
"Total male and female";"2017";"Zuid-Limburg (CR)";"  600037";"     923";"  599025"
"Total male and female";"2018";"Zuid-Limburg (CR)";"  599025";"     921";"  597368"
"Total male and female";"2019";"Zuid-Limburg (CR)";"  597368";"     919";"  597184"
"Total male and female";"2020";"Zuid-Limburg (CR)";"  597184";"     919";"  594254"
"Total male and female";"2021";"Zuid-Limburg (CR)";"  594254";"     914";"  594047"
"Total male and female";"2022";"Zuid-Limburg (CR)";"  594047";"     915";"  597652"
"Total male and female";"2023";"Zuid-Limburg (CR)";"  597652";"     921";"  600290"
"Total male and female";"2009";"Flevoland (CR)";"  383449";"     271";"  387881"
"Total male and female";"2010";"Flevoland (CR)";"  387881";"     274";"  391967"
"Total male and female";"2011";"Flevoland (CR)";"  391967";"     277";"  395525"
"Total male and female";"2012";"Flevoland (CR)";"  395525";"     279";"  398441"
"Total male and female";"2013";"Flevoland (CR)";"  398441";"     282";"  399893"
"Total male and female";"2014";"Flevoland (CR)";"  399893";"     283";"  401791"
"Total male and female";"2015";"Flevoland (CR)";"  401791";"     284";"  404068"
"Total male and female";"2016";"Flevoland (CR)";"  404068";"     286";"  407818"
"Total male and female";"2017";"Flevoland (CR)";"  407818";"     289";"  411670"
"Total male and female";"2018";"Flevoland (CR)";"  411670";"     292";"  416546"
"Total male and female";"2019";"Flevoland (CR)";"  416546";"     295";"  423021"
"Total male and female";"2020";"Flevoland (CR)";"  423021";"     300";"  428226"
"Total male and female";"2021";"Flevoland (CR)";"  428226";"     303";"  434771"
"Total male and female";"2022";"Flevoland (CR)";"  434771";"     308";"  444701"
"Total male and female";"2023";"Flevoland (CR)";"  444701";"     315";"  450826"
